algorithm,1,2,3,4
gbdt,9.82266810190199,5.510598674227976,9.03413035581444,11.219484610189571
mlr,10.473641868046032,5.811247610441868,10.608803465051235,12.200178260988112
nn,11.544069029907053,6.089683325827488,41.67352837235564,12.891556114668765
rf,9.79229244205708,5.847174453152111,9.875222285121053,11.642255473227863
svm,10.614842283944913,5.836069586983641,9.47162493591867,12.379155791250835
xgb,9.623033699662892,5.482482974035909,8.960963519818614,11.358035782001314
