,site,season,level,algorithm,loss
122,新秀街,4,5,xgb,27.747483093073434
123,新秀街,4,6,xgb,60.21853455896632
124,森林路,1,1,xgb,5.571950203891721
125,森林路,1,2,xgb,13.167440555662086
126,森林路,1,3,xgb,20.97641156008959
127,森林路,1,4,xgb,10.64982097559878
128,森林路,1,5,xgb,3.69451904296875
129,森林路,2,1,xgb,3.925755365154602
130,森林路,2,2,xgb,5.050002457289001
131,森林路,3,1,xgb,6.236540986116454
132,森林路,3,2,xgb,11.221954191311543
133,森林路,3,3,xgb,14.251714727799143
134,森林路,3,4,xgb,11.28368055131584
135,森林路,3,5,xgb,44.42872824020292
136,森林路,3,6,xgb,62.537127105747665
137,森林路,4,1,xgb,8.45340516715991
138,森林路,4,2,xgb,10.130286262223418
139,森林路,4,3,xgb,12.444869569104743
140,森林路,4,4,xgb,14.489795678407997
141,森林路,4,5,xgb,27.591728925894973
142,森林路,4,6,xgb,3.7655029296875
143,沈辽西路,1,1,xgb,6.358081157100803
144,沈辽西路,1,2,xgb,12.32335305343083
145,沈辽西路,1,3,xgb,15.83760618858192
146,沈辽西路,1,4,xgb,17.269669276207985
147,沈辽西路,1,5,xgb,26.838884728946123
148,沈辽西路,1,6,xgb,46.972808837890625
149,沈辽西路,2,1,xgb,6.733068724989673
150,沈辽西路,2,2,xgb,10.955820596006062
151,沈辽西路,3,1,xgb,7.435294908641315
152,沈辽西路,3,2,xgb,11.99542048216807
153,沈辽西路,3,3,xgb,13.574424494556828
154,沈辽西路,3,4,xgb,20.941912794597428
155,沈辽西路,3,5,xgb,16.17997568373006
156,沈辽西路,3,6,xgb,84.57849086678905
157,沈辽西路,4,1,xgb,6.691370159439091
158,沈辽西路,4,2,xgb,12.281168852741068
159,沈辽西路,4,3,xgb,15.234573370561705
160,沈辽西路,4,4,xgb,15.476184751884022
161,沈辽西路,4,5,xgb,30.538050607546616
162,沈辽西路,4,6,xgb,45.226270922942405
163,浑南东路,1,1,xgb,6.008294341143781
164,浑南东路,1,2,xgb,8.271161385280285
165,浑南东路,1,3,xgb,15.449948755799106
166,浑南东路,1,4,xgb,15.871207602204207
167,浑南东路,1,5,xgb,24.58545346630026
168,浑南东路,1,6,xgb,73.76197556936835
169,浑南东路,2,1,xgb,3.585935443469467
170,浑南东路,2,2,xgb,9.479689522136765
171,浑南东路,2,3,xgb,16.304344177246094
172,浑南东路,2,4,xgb,17.872146606445312
173,浑南东路,3,1,xgb,5.52117022372298
174,浑南东路,3,2,xgb,11.731194361852515
175,浑南东路,3,3,xgb,11.733549602467587
176,浑南东路,3,4,xgb,18.954681286411184
177,浑南东路,3,5,xgb,29.660864654994075
178,浑南东路,3,6,xgb,86.8823374249618
179,浑南东路,4,1,xgb,7.235391920438772
180,浑南东路,4,2,xgb,11.232761968462839
181,浑南东路,4,3,xgb,13.217132075642876
182,浑南东路,4,4,xgb,13.023788195678346
183,浑南东路,4,5,xgb,24.74113295247429
184,浑南东路,4,6,xgb,61.4093941951149
185,裕农路,1,1,xgb,6.649641783823957
186,裕农路,1,2,xgb,10.262439667372313
187,裕农路,1,3,xgb,15.398385207185507
188,裕农路,1,4,xgb,20.79732046308752
189,裕农路,1,5,xgb,28.525006984246144
190,裕农路,1,6,xgb,32.342926025390625
191,裕农路,2,1,xgb,3.9755015629104262
192,裕农路,2,2,xgb,11.471484201907028
193,裕农路,3,1,xgb,5.746821821607074
194,裕农路,3,2,xgb,9.51376952779938
195,裕农路,3,3,xgb,12.51002745079345
196,裕农路,3,4,xgb,19.302881289643565
197,裕农路,3,5,xgb,22.120256051538814
198,裕农路,3,6,xgb,128.33394357468117
199,裕农路,4,1,xgb,8.42169962976422
200,裕农路,4,2,xgb,10.58111676055759
201,裕农路,4,3,xgb,13.474010964052695
202,裕农路,4,4,xgb,18.252259011979458
203,裕农路,4,5,xgb,19.06556067153409
204,裕农路,4,6,xgb,9.848480224609375
205,陵东街,1,1,xgb,5.516962979661452
206,陵东街,1,2,xgb,11.18768884390521
207,陵东街,1,3,xgb,19.443470808356192
