site,season,level,most_importance_feature
小河沿,2,3,O3_lag1
小河沿,3,1,NO2_lag1
小河沿,3,2,SO2_lag1
小河沿,3,3,SO2_lag1
小河沿,3,4,SO2_lag1
小河沿,3,5,PM10_lag1
小河沿,3,6,SO2_lag1
小河沿,4,1,temperature_lag1
小河沿,4,2,temperature_lag1
小河沿,4,3,NO2_lag1
小河沿,4,4,NO2_lag1
小河沿,4,5,PM10_lag1
小河沿,4,6,NO2_lag1
新秀街,1,1,NO2_lag1
新秀街,1,2,pressure_lag1
新秀街,1,3,pressure_lag1
新秀街,1,4,SO2_lag1
新秀街,1,5,PM10_lag1
新秀街,1,6,SO2_lag1
新秀街,2,1,NO2_lag1
新秀街,2,2,temperature_lag1
新秀街,2,3,SO2_lag1
新秀街,3,1,NO2_lag1
新秀街,3,2,SO2_lag1
新秀街,3,3,pressure_lag1
新秀街,3,4,pressure_lag1
新秀街,3,5,SO2_lag1
新秀街,3,6,N0_lag1
新秀街,4,1,pressure_lag1
新秀街,4,2,pressure_lag1
新秀街,4,3,SO2_lag1
新秀街,4,4,NO2_lag1
新秀街,4,5,SO2_lag1
新秀街,4,6,O3_lag1
裕农路,1,1,N0_lag1
裕农路,1,2,SO2_lag1
裕农路,1,3,SO2_lag1
裕农路,1,4,PM10_lag1
裕农路,1,5,NOx_lag1
裕农路,2,1,NO2_lag1
裕农路,2,2,PM10_lag1
裕农路,3,1,temperature_lag1
裕农路,3,2,pressure_lag1
裕农路,3,3,SO2_lag1
裕农路,3,4,SO2_lag1
裕农路,3,5,wind_S_lag1
裕农路,3,6,SO2_lag1
裕农路,4,1,O3_lag1
裕农路,4,2,SO2_lag1
裕农路,4,3,pressure_lag1
裕农路,4,4,SO2_lag1
裕农路,4,5,humidity_lag1
